
2024/03/23 (17:44:31) | ===> btop++ v.1.3.2
2024/03/23 (17:44:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/23 (17:44:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/23 (17:44:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/23 (17:44:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/23 (17:44:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/23 (17:44:41) | ===> btop++ v.1.3.2
2024/03/23 (17:44:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/23 (17:44:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/23 (17:44:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/23 (17:44:41) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/23 (17:44:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/23 (17:44:46) | ===> btop++ v.1.3.2
2024/03/23 (17:44:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/23 (17:44:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/23 (17:44:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/23 (17:44:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/23 (17:44:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/03 (20:29:21) | ===> btop++ v.1.3.2
2024/04/03 (20:29:21) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/03 (20:29:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (20:29:21) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/03 (20:29:21) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/03 (20:29:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/07 (18:54:01) | ===> btop++ v.1.3.2
2024/04/07 (18:54:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/07 (18:54:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/07 (18:54:01) | WARNING: ROCm SMI: Failed to get VRAM utilization

2024/04/07 (18:54:03) | ===> btop++ v.1.3.2
2024/04/07 (18:54:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/07 (18:54:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/07 (18:54:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/07 (18:54:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/07 (18:54:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/07 (19:02:23) | ===> btop++ v.1.3.2
2024/04/07 (19:02:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/07 (19:02:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/07 (19:02:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/07 (19:02:23) | WARNING: ROCm SMI: Failed to get GPU power usage
